pdf_name,Continent,background,humans,nature,language,photo,busy,logo,graphic,Name,Size,Sector,Country,Country Status,Region,Date Added,Title,Publication Year,Type,Report Pdf Address,Report Html Address,Adherence Level,Status,Application Level,Sector Supplements (Final),GRI Content Index URL,Integrated,Organization type,Listed/Non-listed,OECD,UNGC,CDP,IFC,ISO,External Assurance,Type of Assurance Provider,Assurance Provider,Stakeholder Panel/ Expert Opinion,Assurance Scope,Level of Assurance,Assurance Standard: AA1000 AS,Assurance Stanadard: ISAE3000,Assurance Standard: national (general),Assurance Standard: national (sustainability),Materiality Matters Check,GRI Service,Featured Report?,OS,GOLD Community,SDGs
Altron(AlliedElectronicsCorporationLimited)_2016.pdf,Africa,white,0,FALSE,English,FALSE,Somewhat Busy,TRUE,TRUE,Altron (Allied Electronics Corporation Limited),MNE,Telecommunications,South Africa,DAC-UMICT,Africa,1-12-2016,Integrated Annual Report 2016,2016,GRI - G4,http://www.altron.com/iar2016/static/pdfs/Altron-IAR2016-web.pdf,http://www.altron.com/iar2016/static/pdfs/Altron-IAR2016-web.pdf,In accordance - Core,NA,NA,Electric Utilities,http://www.altron.com/sites/altron_d7_live/files/2016_Altron_G4_Core.pdf,No,Private company,Listed,No,Yes,Yes,No,No,Yes,Small consultancy/ boutique firm,Other,No,Specified section(s),Limited/ Moderate,No,No,No,No,NA,NA,No,NA,No,No
Altron(AlliedElectronicsCorporationLimited)_2017.pdf,Africa,white,0,TRUE,English,FALSE,Somewhat Busy,TRUE,TRUE,Altron (Allied Electronics Corporation Limited),MNE,Telecommunications,South Africa,DAC-UMICT,Africa,13-10-2017,Integrated Annual Report 2017,2017,GRI - G4,http://www.altron.com/iar2017/static/pdfs/2017/Altron_IAR_2017_webPDF.pdf,http://www.altron.com/iar2017/,In accordance - Core,NA,NA,Not Applicable,http://www.altron.com/iar2017/static/pdfs/2017/Altron-GRI_SDTI-Index-2017.pdf,Yes,Private company,Listed,No,Yes,Yes,No,No,No,NA,NA,No,NA,NA,No,No,No,No,NA,NA,No,NA,No,No
AnhuiWantong Technology_2016.pdf,Asia,white,0,FALSE,Others,FALSE,Not Busy,FALSE,FALSE,Anhui Wantong Technology,Large,Telecommunications,Mainland China,DAC-UMICT,Asia,29-9-2016,Social Responsibility Report 2015,2016,Non - GRI,http://pdf.dfcfw.com/pdf/H2_AN201603210013954486_01.pdf,http://pdf.dfcfw.com/pdf/H2_AN201603210013954486_01.pdf,NA,NA,NA,NA,NA,NA,Private company,Listed,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,No,No,NA,NA,No,NA,No,NA
AnhuiWantong Technology_2017.pdf,Asia,white,0,FALSE,Others,FALSE,Not Busy,FALSE,FALSE,Anhui Wantong Technology,Large,Telecommunications,Mainland China,DAC-UMICT,Asia,17-5-2017,Social Responsibility Report 2016,2017,Non - GRI,http://pdf.dfcfw.com/pdf/H2_AN201702270367867336_01.pdf,NA,NA,NA,NA,NA,NA,No,Private company,Listed,No,No,No,No,No,No,NA,NA,No,NA,NA,No,No,No,No,NA,NA,No,NA,No,No
AsiaPacificTelecom(APT)_2012.pdf,Asia,white,0,FALSE,Others,FALSE,Not Busy,FALSE,FALSE,Asia Pacific Telecom (APT),Large,Telecommunications,Taiwan,Non-OECD / Non-DAC,Asia,17-7-2016,2011 CSR Report,2012,Non - GRI,http://www.aptg.com.tw/corporate/download/CSR/2011APTCSRreport.pdf,http://www.aptg.com.tw/corporate/Social_CSR.htm,NA,NA,NA,NA,NA,NA,Private company,Listed,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,No,No,NA,NA,NA,NA,NA,NA
AsiaPacificTelecom(APT)_2013.pdf,Asia,white,0,FALSE,Others,FALSE,Not Busy,TRUE,FALSE,Asia Pacific Telecom (APT),Large,Telecommunications,Taiwan,Non-OECD / Non-DAC,Asia,24-3-2015,2012 Corporate Social Responsibility Report (Chinese Version),2013,Non - GRI,http://www.aptg.com.tw/corporate/download/CSR/2013_crs.pdf,http://www.aptg.com.tw/corporate/Social_CSR.htm,NA,NA,NA,NA,NA,No,Private company,Listed,No,No,No,No,No,No,NA,NA,No,NA,NA,No,No,No,No,NA,NA,NA,NA,NA,NA
AsiaPacificTelecom(APT)_2015.pdf,Asia,white,0,FALSE,Others,FALSE,Not Busy,TRUE,TRUE,Asia Pacific Telecom (APT),Large,Telecommunications,Taiwan,Non-OECD / Non-DAC,Asia,21-7-2015,2014 APT CSR REPORT (Chinese Version),2015,GRI - G4,http://www.aptg.com.tw/corporate/download/CSR/2014.pdf,http://www.aptg.com.tw/corporate/Social_CSR.htm,In accordance - Core,NA,NA,Media,NA,No,Private company,Listed,No,No,No,No,No,No,NA,NA,No,NA,NA,No,No,No,No,NA,NA,No,No,NA,NA
Axiata_2013.pdf,Asia,grey,1,FALSE,English,TRUE,Not Busy,TRUE,TRUE,Axiata,MNE,Telecommunications,Malaysia,DAC-UMICT,Asia,28-8-2015,Sustainability Report 2012,2013,Non - GRI,http://axiata.listedcompany.com/misc/sustainability2012.pdf,NA,NA,NA,NA,NA,NA,NA,Private company,Listed,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,No,No,NA,NA,NA,NA,NA,NA
Axiata_2015.pdf,Asia,white,0,TRUE,English,FALSE,Somewhat Busy,TRUE,TRUE,Axiata,MNE,Telecommunications,Malaysia,DAC-UMICT,Asia,1-6-2015,Sustainability Report 2014,2015,GRI - G4,http://axiata.listedcompany.com/misc/sustainability2014.pdf,http://www.axiata.com/media/upload/investors_relations/sr/,In accordance - Core,NA,NA,Not Applicable,NA,No,Private company,Listed,No,No,No,No,No,Yes,Accountant,Ernst & Young,No,Specified section(s),Limited/ Moderate,Yes,Yes,No,No,NA,Materiality Disclosures Service,No,No,NA,NA
Axiata_2016.pdf,Asia,grey,0,FALSE,English,FALSE,Not Busy,TRUE,TRUE,Axiata,MNE,Telecommunications,Malaysia,DAC-UMICT,Asia,7-7-2016,Our Commitment to Development; Towards a Digital Future,2016,GRI - G4,http://axiata.listedcompany.com/misc/sustainability2015.pdf,NA,In accordance - Core,NA,NA,Not Applicable,NA,No,Private company,Listed,No,No,No,No,No,Yes,Accountant,Ernst & Young,No,Specified section(s),Limited/ Moderate,Yes,No,No,No,NA,Materiality Disclosures Service,No,NA,No,No
